text,label,notes
"How many times has Miami been in the lottery the last 25 years? The last time they “tanked” was 2008. Dunno if I want a bunch of late FRPs for Giannis. Ware could be good but he, Herro and Jacquez could be fool’s gold. Everybody plays better in Miami.
Both deals kinda suck. But atleast you know Jaylen Brown and Queta can carry you to an EC playoff run. Plus there’s the flexibility of moving him again to Portland, getting all their picks back.",analysis,
"Mo Diawara:
21 years old
6'9 with 7'4 wingspan
7.5 3PA per 36 at 37%
3 assists per 36 as an off-ball wing who almost never had a play called for him
Awesome that we're bringing him back. I'd rather have him than our #24 pick",analysis,
"Mo will be a player that every ball knower will be like ""Damn, the Knicks really got this guy for how much?"" give it some time and you'll see.",hot_take,
"TITLE: Bill Russell was the first Black MVP, All-NBA first teamer, head coach and champion coach, and led the NBA's first all-Black starting lineup to a 12-0 record. Yet he declined being the first Black Hall of Famer, believing earlier Black pioneers who didn't get a chance in the pros deserved the honor
BODY: He was also the joint-first Black NCAA champion in 1955.
Russell declined to attend his initial Naismith Memorial Basketball Hall of Fame induction ceremony in 1975. The Boston Celtics legend refused to be the first Black player inducted, believing that others who came before him deserved the honor first.
The first black player enshrined instead was Charles Cooper https://en.wikipedia.org/wiki/Charles_Cooper_(basketball) (at the behest of Russell), who helped his team (the New York Rens) win 88 straight games in the 1930s, a record that has never been matched by a professional basketball team. Technically he did play professionally, but he wasn’t able to play in any professional league with white players, or to be a teammate of one.
They also won the 1939 World Basketball Championship, which was probably the best way that the best basketball team in the world was determined at that time, given that it included black teams like the Renaissance and the Globetrotters.
Notably, Russell also declined to get his jersey retired in front of fans in Boston, as he felt the most dominant dynasty in the sport's history was not appreciated because they had Black players.
This feeling was exacerbated by his own fans very literally breaking into his house and shitting on his bed. When he retired suddenly in the summer of 1969 after his 11th ring, he all but cut ties with the organization for years.
On the court, Russell won 55 straight games and two national championships at a program that had not previously been a powerhouse, and 11 NBA championships in 13 years. From 1952-1984, Russell won 11 championships, and no other player won more than three, excluding seasons where those players were on Bill Russell's team.",analysis,
"For the record, absolutely no one knew Cooper as Charles Cooper outside of his own family, he went by Tarzan Cooper his entire adult life. The Rens also 100% were ""the pros,"" it was a big controversy within black basketball in the early 20s when they turned fully professional, for about seven years they were widely considered the best team in the world regardless of race, they played against the best white teams in the would 203 times including 84 times when he was on the team, and prior to the Great Depression Cooper and two of his teammates were earning more when taking into account inflation than any NBA player was during the first three or four years of the NBA's existence.",analysis,
"If you say he’s the GOAT people will say he played in a league with 8 teams, with plumbers and milkmen. What a fucking absolutely offensive way to break down Bill Russell’s career. He was so much more than that.
Then if you argue for Jordan as GOAT, the rings argument eventually comes up, usually with LeBron. Then all of a sudden Bill Russell is the greatest player ever.
Because he kind of is.
NBA discourse is the absolute worse lol",hot_take,borderline analysis vs hot_take; strong GOAT claim with emotional framing
"He's always been the real GOAT in my eyes. To be a civil rights leader, while dealing with harrassment and threats from his own fanbase, and still playing at such an elite level is something that most players outside of his era can never imagine.
19",hot_take,
"another fun fact: in 1956, Bill Russell qualified for the Olympic High jump. He was ranked #2 in the US and #7 in the world, setting the University of San Francisco school record. Interestingly, its STILL the school record -- despite the fact that this was BEFORE the Forsbury Flop.
Bill Russell was crazy athletic and his vertical could stand up to anyone's jump in any era",analysis,
"TITLE: During this year's playoffs, Victor Wembanyama recorded 77 defensive stops. No player has recorded more in a single playoff run since the 2010-11 season (which is how far back full data goes). Wembanyama now holds the regular season (2023-24) and postseason (2026) records.
BODY: During this year's playoffs, Victor Wembanyama recorded 77 defensive stops. No player has recorded more in a single playoff run since the 2010-11 season (which is how far back full data goes). Wembanyama now holds the regular season (2023-24) and postseason (2026) records
Defensive Stops = offensive fouls drawn + charges drawn + steals + blocks recovered by the defense
https://www.basketball-reference.com/players/w/wembavi01.html",analysis,
"77 defensive stops in a single playoff run is absurd. what makes it wild is defensive stops already undercounts his impact — doesn't capture the shots guys don't even attempt because he's in the paint. the gravity he generates on defense is like a stretch five on offense, just in reverse.",analysis,
"Im not about to even blink an eye at a ""record"" that accounts for less than a quarter of the NBAs history and doesnt include any if the years when the truly dominant defensive centers of the league played .",analysis,
"Best defender in the world by a long shot. No matter how bad of an offensive game he plays, he will always be a positive on the court with that defense. Hes gonna be unstoppable when he’s like 26/27/28",hot_take,
mean I don't really understand how Boston was ever going to do the trade without Brown's salary so idk how this was ever not the path lol,analysis,
"As a neutral, Miami should not gut their roster for Giannis. Yeah hes great, but hes declining, hes expensive (maybe you will have to give roster spots to his family members, and stuff) and he will be injured a lot of times.",analysis,borderline hot_take vs analysis; includes reasons for the claim
"I think none of us have any idea what is going to happen next season. There are so many variables even before bigger trades (might) go down, but I think both Washington and Utah had the potential to be exciting this season playing their best lineups even without their top-2 picks.",analysis,
"Jose really went from “that annoying pest on the Pels” to “savvy vet on the reigning champ Knicks” in like two years, wild timeline 😂. Feels like they are cooking some kind of draft night move and just needed the flexibility, Leon got like 12 different cap spreadsheets open right now.",reaction,
"TITLE: Rewatching Game 7 of the 2016 Finals is crazy. There is no flailing, head snapping, falling down after every shot, jumping sideways, etc. They’re playing actually basketball down the stretch
BODY: I can only today. On LeBron’s block Iggy would probably kick his legs out backward and end up in the front row now Silver really has ruined this great game",hot_take,borderline reaction vs hot_take; bold claim about modern NBA officiating
"I wouldn’t say that this Finals “wasn’t real basketball”. It was. We saw great defense, and some high level offense to get around that D. We also saw some poor offense, especially down the stretch of games.
But players more than ever play to the refs, and the refs are not doing a good enough job of recognizing it. The reffing system needs to be revolutionized.
It’s definitely time for another rule change to tackle the foul baiting . And one they enforce, not another “we’re gonna call flops for two weeks and then never again”.",analysis,
